AÑO ESTRENO;PELÍCULA ;GÉNERO;SUBGÉNERO ;DIRECTOR;ACTOR PRINCIPAL;PRODUCTORA/ESTUDIO;LUGAR
2025;One Battle After Another;Thriller;Acción;Paul Thomas Anderson;Leonardo DiCaprio;Warner Bros.;Ganadora
2025;Sinners;Terror;Thriller;Ryan Coogler;Michael B. Jordan;Universal Pictures;Nominada
2025;Sentimental Value;Drama;Drama familiar;Joachim Trier;Gustav Borg;Neon;Nominada
2025;Marty Supreme;Drama;Thriller;Josh Safdie;Timotheé Chalamet;A24;Nominada
2025;Frankestein;Terror ;Gótico  ;Guillermo del Toro;Oscar Isaac;Netflix;Nominada
2025;Hamnet;Drama;Histórico;Chloé Zhao;Jessie Buckley;Focus Features;Nominada
2025;F1: The Movie;Drama;Deportivo;Joseph Kosinski;Brad Pitt;Apple Studios;Nominada
2025;Bugonia;Ciencia ficción;Sátira;Yorgos Lanthimos;Emma Stone;CJ Entertainment;Nominada
2025;Secret Agent;Thriller;Espionaje;Kleber Mendonça Filho;Wagner Moura;Neon;Nominada
2025;Train Dreams;Drama;Histórico;Clint Bentley;Joel Edgerton;Netflix;Nominada
2024;Anora;Drama;Comedia;Sean Baker;Mikey Madison;Neon;Ganadora
2024;The Brutalist;Drama;Histórico;Brady Corbet;Andrien Brody;A24;Nominada
2024;A Complete Unknown;Drama;Biográfico;James Mangold;Timotheé Chalamet;Searchlight Pictures;Nominada
2024;Conclave;Drama;Religioso;Edward Berger;Ralph Fiennes;Focus Features;Nominada
2024;Dune: Part Two;Ciencia ficción;Aventura;Denis Villeneuve;Timotheé Chalamet;Warner Bros.;Nominada
2024;Emilia Pérez;Drama;Musical;Jacques Audiard;Karla Sofía Gascón;Netflix;Nominada
2024;I´m Still Here;Drama;Biográfico;Walter Salles;Fernanda Torres;Sony Pictures Classics;Nominada
2024;Nickel Boys;Drama;Histórico;RaMell Ross;Ethan Herisse;Amazon MGM Studios;Nominada
2024;The Substance;Terror ;Ciencia Ficción;Coralie Fargeat;Demi Moore;Mubi;Nominada
2024;Wicked;Fantasía;Musical;Jon M. Chu;Cynthia Erivo;Universal Pictures;Nominada
2023;Oppenheimer;Drama;Biográfico;Christopher Nolan;Cillian Murphy;Universal Pictures;Ganadora
2023;American Fiction;Comedia;Sátira social;Cord Jefferson;Jeffrey Wright;Amazon MGM Studios;Nominada
2023;Anatomy Of a Fall;Drama;Judicial;Justine Triet;Sandra Huller;Neon;Nominada
2023;Barbie;Aventura ;Comedia;Greta Gerwig;Margot Robbie;Warner Bros.;Nominada
2023;The Holdovers;Comedia;Coming of age;Alexander Payne;Paul Giamatti;Focus Features;Nominada
2023;Killers of the Flower Moon;Drama;Crimen;Martin Scorsese;Leonardo DiCaprio;Apple Studios;Nominada
2023;Maestro;Drama;Biográfico;Bradley Cooper;Bradley Cooper;Netflix;Nominada
2023;Past Lives;Romance;Drama;Celine Song;Greta Lee;A24;Nominada
2023;Poor Things;Ciencia ficción;Fantasía;Yorgos Lanthimos;Emma Stone;Searchlight Pictures;Nominada
2023;The Zone of Interest;Bélico;Drama;Jonathan Glazer;Sandra Huller;A24;Nominada
2022;Everything Everywhere All at Once;Acción;Ciencia Ficción;Daniel Kwan & Daniel Scheinert;Michelle Yeoh;A24;Ganadora
2022;Im Westen nichts Neues;Bélico;Acción;Edward Berger;Felix Zammerer;Netflix;Nominada
2022;Avatar: The Way of Water;Ciencia ficción;Acción;James Cameron;Sam Worthigton;20th Century Studios;Nominada
2022;The Banshees of Inisherin;Comedia;Drama;Martin McDonagh;Colin Farrel;Searchlight Pictures;Nominada
2022;Elvis;Drama;Biográfico;Baz Luhrmann;Austin Butler;Warner Bros.;Nominada
2022;The Fabelmans;Drama;Biográfico;Steven Spielberg;Michelle Williams;Universal Pictures;Nominada
2022;TÁR;Drama;Psicológico;Todd Field;Cate Blanchett;Focus Features;Nominada
2022;Top Gun: Maverick;Acción;Drama;Joseph Kosinski;Tom Cruise;Paramount Pictures;Nominada
2022;Triangle of Sadness;Comedia;Sátira social;Ruben Östlund;Harris Dickinson;Neon;Nominada
2022;Women Talking;Drama;Social;Sarah Polley;Rooney Mara;United Artists Releasing;Nominada
2021;CODA;Drama;Musical;Sian Heder;Emilia Jones;Apple Studios;Ganadora
2021;The Power of the Dog;Drama;Western;Jane Campion;Benedict Cumberbatch;Netflix;Nominada
2021;Don´t Look Up;Comedia;Sátira política;Adam McKay;Leonardo DiCaprio;Netflix;Nominada
2021;Doraibu mai kâ;Drama;Introspectivo;Ryusuke Hamaguchi;Hidetoshi Nishijima;Janus Films;Nominada
2021;Dune ;Ciencia ficción;Aventura;Denis Villeneuve;Timothée Chalamet;Warner Bros.;Nominada
2021;King Richard;Drama;Biográfico;Reinaldo Marcus Green;Will Smith;Warner Bros.;Nominada
2021;Licorice Pizza;Comedia;Drama;Paul Thomas Anderson;Alana Haim;MGM;Nominada
2021;Nightmare Alley;Drama;Thriller;Guillermo del Toro;Bradley Cooper;Searchlight Pictures;Nominada
2021;West Side Story;Musical;Romance;Steven Spielberg;Rachel Zegler;20th Century Studios;Nominada
2021;Belfast;Drama;Histórico;Kenneth Branagh;Jude Hill;Focus Features;Nominada
2020;Nomadland;Drama;Social;Chloé Zhao;Frances McDormand;Searchlight Pictures;Ganadora
2020;The Father;Drama;Psicológico;Florian Zeller;Anthony Hopkins;Sony Pictures Classics;Nominada
2020;Mank;Drama;Biográfico;David Fincher;Gary Oldman;Netflix;Nominada
2020;Minari;Drama;Familiar;Lee Isaac Chung;Steven Yeun;A24;Nominada
2020;Promising Young Woman;Thriller;Drama;Emerald Fennell;Carey Mulligan;Focus Features;Nominada
2020;Sound of Metal;Drama;Musical;Darius Marder;Riz Ahmed;Amazon Studios;Nominada
2020;The Trial od the Chicago 7;Drama;Judicial;Aaron Sorkin;Sacha Baron Cohen;Netflix;Nominada
2020;Judas and the Black Messiah;Drama;Biográfico;Shaka King;Daniel Kaluuya;Warner Bros.;Nominada
2019;Parasits;Drama;Sátira social;Bong Joon-ho;Song Kang-ho;CJ Entertainment;Ganadora
2019;Jojo Rabbit;Comedia;Sátira social;Taika Waititi;Roman Griffin Davis;Searchlight Pictures;Nominada
2019;Joker;Drama;Psicológico;Todd Phillips;Joaquin Phoenix;Warner Bros.;Nominada
2019;Little Women;Drama;Romance;Greta Gerwig;Saoirse Ronan;Sony Pictures;Nominada
2019;Marriage Story;Drama;Romance;Noah Baumbach;Scarlett Johansson;Netflix;Nominada
2019;1917;Drama;Bélico;Sam Mendes;George MacKay;Universal Pictures;Nominada
2019;Once Upon a Time in Hollywood;Comedia;Drama;Quentin Tarantino;Leonardo DiCaprio;Sony Pictures;Nominada
2019;The Irishman;Drama;Crimen;Martin Scorsese;Robert De Niro;Netflix;Nominada
